productId,slug,familyName,canonicalProductName,strength,vialSizeMl,finishedSizeInches,pixelSizeAt600Dpi,png,pdf,archived,storefrontVisible
cmp1x0yx8000pbot9ihqsh2kh,cagri-sema-2-5mg,Cagrilintide + Semaglutide,Cagrilintide 2.5mg + Semaglutide 2.5mg,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/Cagrilintide + Semaglutide 5mg - 3mL Label.png,3ml/pdf/Cagrilintide + Semaglutide 5mg - 3mL Label.pdf,False,True
cmp1x0yxq000qbot9eo5zhjxj,cagri-sema-5mg,Cagrilintide + Semaglutide,Cagrilintide 5mg + Semaglutide 5mg,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Cagrilintide + Semaglutide 10mg - 3mL Label.png,3ml/pdf/Cagrilintide + Semaglutide 10mg - 3mL Label.pdf,False,True
cmp1x103f002qbot9gogq41g6,cerebrolysin-60mg,Cerebrolysin,Cerebrolysin (6 vials),60mg,3,1.75 x 0.75,1050 x 450,3ml/png/Cerebrolysin 60mg - 3mL Label.png,3ml/pdf/Cerebrolysin 60mg - 3mL Label.pdf,False,True
cmp1x102v002obot97t9bgt1r,dsip-5mg,DSIP,DSIP,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/DSIP 5mg - 3mL Label.png,3ml/pdf/DSIP 5mg - 3mL Label.pdf,False,True
cmp1x1035002pbot9h46e6lxf,dsip-15mg,DSIP,DSIP,15mg,3,1.75 x 0.75,1050 x 450,3ml/png/DSIP 15mg - 3mL Label.png,3ml/pdf/DSIP 15mg - 3mL Label.pdf,False,True
cmp1x0znn002bbot9hjcisqmd,dermorphin-5mg,Dermorphin,Dermorphin,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/Dermorphin 5mg - 3mL Label.png,3ml/pdf/Dermorphin 5mg - 3mL Label.pdf,False,True
cmp1x100m002jbot9u25xkjhs,epo-3000iu,EPO,EPO 3000IU,3000iu,3,1.75 x 0.75,1050 x 450,3ml/png/EPO 3000iu - 3mL Label.png,3ml/pdf/EPO 3000iu - 3mL Label.pdf,True,False
cmp1x0z2g0010bot9wshf7rsl,epithalon-10mg,Epithalon,Epithalon,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Epithalon 10mg - 3mL Label.png,3ml/pdf/Epithalon 10mg - 3mL Label.pdf,False,True
cmp1wfede0004101lqyudhnof,epithalon-50mg,Epithalon,Epithalon,50mg,3,1.75 x 0.75,1050 x 450,3ml/png/Epithalon 50mg - 3mL Label.png,3ml/pdf/Epithalon 50mg - 3mL Label.pdf,False,True
cmp1x10a50036bot9hyydh90k,g610-10mg,G610,G610,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/G610 10mg - 3mL Label.png,3ml/pdf/G610 10mg - 3mL Label.pdf,False,True
cmp1x10ld003abot9z6pp621m,ga-water-3ml,GA = AA Water,GA = AA Water,3ml,3,1.75 x 0.75,1050 x 450,3ml/png/GA = AA Water 3ml - 3mL Label.png,3ml/pdf/GA = AA Water 3ml - 3mL Label.pdf,True,False
cmp1wfeen0007101lfhpfjj1p,ghk-cu-100mg,GHK-Cu,GHK-Cu,100mg,3,1.75 x 0.75,1050 x 450,3ml/png/GHK-Cu 100mg - 3mL Label.png,3ml/pdf/GHK-Cu 100mg - 3mL Label.pdf,False,True
cmp1x0yz4000tbot93f10ihys,ghk-cu-50mg,GHK-Cu,GHK-Cu,50mg,3,1.75 x 0.75,1050 x 450,3ml/png/GHK-Cu 50mg - 3mL Label.png,3ml/pdf/GHK-Cu 50mg - 3mL Label.pdf,False,True
cmp1x0zij001zbot9a4dd88pe,ghrp-6-5mg,GHRP-6 Acetate,GHRP-6 Acetate,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/GHRP-6 Acetate 5mg - 3mL Label.png,3ml/pdf/GHRP-6 Acetate 5mg - 3mL Label.pdf,False,True
cmsida3m30000a3jeo3wwem23,glow70-70mg,GLOW70,GLOW70,70mg,3,1.75 x 0.75,1050 x 450,3ml/png/GLOW70 70mg - 3mL Label.png,3ml/pdf/GLOW70 70mg - 3mL Label.pdf,False,True
cmp1x0z03000vbot96bmqfoiu,glutathione-600mg,Glutathione,Glutathione,600mg,10,2.5 x 1.25,1500 x 750,10ml/png/Glutathione 600mg - 10mL Label.png,10ml/pdf/Glutathione 600mg - 10mL Label.pdf,False,True
cmp1x0z10000xbot9baf08cb1,glutathione-1500mg,Glutathione,Glutathione,1500mg,10,2.5 x 1.25,1500 x 750,10ml/png/Glutathione 1500mg - 10mL Label.png,10ml/pdf/Glutathione 1500mg - 10mL Label.pdf,False,True
cmp1x0z0m000wbot97wyoxzaf,glutathione-1200mg,Glutathione,Glutathione,1200mg,10,2.5 x 1.25,1500 x 750,10ml/png/Glutathione 1200mg - 10mL Label.png,10ml/pdf/Glutathione 1200mg - 10mL Label.pdf,False,True
cmp1x0zqi002gbot94ra55yc6,hcg-5000iu,HCG,HCG,5000iu,3,1.75 x 0.75,1050 x 450,3ml/png/HCG 5000iu - 3mL Label.png,3ml/pdf/HCG 5000iu - 3mL Label.pdf,False,True
